title,cast,crew,genres,keywords,overview,release_date,runtime,tagline,vote_average,finalcol
Superman Returns,BrandonRouth KevinSpacey KateBosworth JamesMarsden,BryanSinger,Adventure Fantasy Action ScienceFiction,savingtheworld dccomics invulnerability sequel superhero basedoncomicbook kryptonite superpowers superhumanstrength lexluthor,,2006-06-28,154.0,,5.4,brandonrouth kevinspacey katebosworth jamesmarsden bryansinger  adventure fantasy action sciencefiction  savingtheworld dccomics invulnerability sequel superhero basedoncomicbook kryptonite superpowers superhumanstrength lexluthor
Quantum of Solace,DanielCraig OlgaKurylenko MathieuAmalric JudiDench,MarcForster,Adventure Action Thriller Crime,killing undercover secretagent britishsecretservice,,2008-10-30,106.0,,6.1,danielcraig olgakurylenko mathieuamalric judidench marcforster  adventure action thriller crime  killing undercover secretagent britishsecretservice
Pirates of the Caribbean: Dead Man's Chest,JohnnyDepp OrlandoBloom KeiraKnightley StellanSkarsgård,GoreVerbinski,Adventure Fantasy Action,witch fortuneteller bondage exoticisland monster captain cardgame eastindiatradingcompany compass ship daughter pirate swashbuckler aftercreditsstinger,,2006-06-20,151.0,,7.0,johnnydepp orlandobloom keiraknightley stellanskarsgård goreverbinski  adventure fantasy action  witch fortuneteller bondage exoticisland monster captain cardgame eastindiatradingcompany compass ship daughter pirate swashbuckler aftercreditsstinger
The Lone Ranger,JohnnyDepp ArmieHammer WilliamFichtner HelenaBonhamCarter,GoreVerbinski,Action Adventure Western,texas horse survivor texasranger partner outlaw escape lawyer train loneranger comanche theloneranger tonto,,2013-07-03,149.0,,5.9,johnnydepp armiehammer williamfichtner helenabonhamcarter goreverbinski  action adventure western  texas horse survivor texasranger partner outlaw escape lawyer train loneranger comanche theloneranger tonto
Man of Steel,HenryCavill AmyAdams MichaelShannon KevinCostner,ZackSnyder,Action Adventure Fantasy ScienceFiction,savingtheworld dccomics superhero basedoncomicbook superhuman alieninvasion reboot superpowers dcextendeduniverse,,2013-06-12,143.0,,6.5,henrycavill amyadams michaelshannon kevincostner zacksnyder  action adventure fantasy sciencefiction  savingtheworld dccomics superhero basedoncomicbook superhuman alieninvasion reboot superpowers dcextendeduniverse
The Chronicles of Narnia: Prince Caspian,BenBarnes WilliamMoseley AnnaPopplewell SkandarKeynes,AndrewAdamson,Adventure Family Fantasy,basedonnovel fictionalplace brothersisterrelationship lion humanbeing wretch leapintime matteroflifeanddeath faith uncle narnia fantasyworld,,2008-05-15,150.0,,6.3,benbarnes williammoseley annapopplewell skandarkeynes andrewadamson  adventure family fantasy  basedonnovel fictionalplace brothersisterrelationship lion humanbeing wretch leapintime matteroflifeanddeath faith uncle narnia fantasyworld
The Avengers,RobertDowneyJr. ChrisEvans MarkRuffalo ChrisHemsworth,JossWhedon,ScienceFiction Action Adventure,newyork shield marvelcomic superhero basedoncomicbook alieninvasion superheroteam aftercreditsstinger duringcreditsstinger marvelcinematicuniverse,,2012-04-25,143.0,,7.4,robertdowneyjr. chrisevans markruffalo chrishemsworth josswhedon  sciencefiction action adventure  newyork shield marvelcomic superhero basedoncomicbook alieninvasion superheroteam aftercreditsstinger duringcreditsstinger marvelcinematicuniverse
Pirates of the Caribbean: On Stranger Tides,JohnnyDepp PenélopeCruz IanMcShane KevinMcNally,RobMarshall,Adventure Action Fantasy,sea captain mutiny sword primeminister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d,,2011-05-14,136.0,,6.4,johnnydepp penélopecruz ianmcshane kevinmcnally robmarshall  adventure action fantasy  sea captain mutiny sword primeminister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d
Men in Black 3,WillSmith TommyLeeJones JoshBrolin MichaelStuhlbarg,BarrySonnenfeld,Action Comedy ScienceFiction,timetravel timemachine alien fictionalgovernmentagency seeingthefuture changinghistory,,2012-05-23,106.0,,6.2,willsmith tommyleejones joshbrolin michaelstuhlbarg barrysonnenfeld  action comedy sciencefiction  timetravel timemachine alien fictionalgovernmentagency seeingthefuture changinghistory
The Hobbit: The Battle of the Five Armies,MartinFreeman IanMcKellen RichardArmitage KenStott,PeterJackson,Action Adventure Fantasy,corruption elves dwarves orcs middle-earth(tolkien) hobbit dragon battle unlikelyfriendship epicbattle swordandsorcery,,2014-12-10,144.0,,7.1,martinfreeman ianmckellen richardarmitage kenstott peterjackson  action adventure fantasy  corruption elves dwarves orcs middle-earth(tolkien) hobbit dragon battle unlikelyfriendship epicbattle swordandsorcery
The Amazing Spider-Man,AndrewGarfield EmmaStone RhysIfans DenisLeary,MarcWebb,Action Adventure Fantasy,lossoffather vigilante serum marvelcomic scientificexperiment spiderbite maskedvigilante reboot superpowers geneticengineering socialoutcast duringcreditsstinger,,2012-06-27,136.0,,6.5,andrewgarfield emmastone rhysifans denisleary marcwebb  action adventure fantasy  lossoffather vigilante serum marvelcomic scientificexperiment spiderbite maskedvigilante reboot superpowers geneticengineering socialoutcast duringcreditsstinger
Robin Hood,RussellCrowe CateBlanchett MaxvonSydow WilliamHurt,RidleyScott,Action Adventure,robinhood archer knight sherwoodforest bowandarrow middleages medieval kingofengland,,2010-05-12,140.0,,6.2,russellcrowe cateblanchett maxvonsydow williamhurt ridleyscott  action adventure  robinhood archer knight sherwoodforest bowandarrow middleages medieval kingofengland
The Hobbit: The Desolation of Smaug,MartinFreeman IanMcKellen RichardArmitage KenStott,PeterJackson,Adventure Fantasy,elves dwarves orcs hobbit dragon wizard swordandsorcery,,2013-12-11,161.0,,7.6,martinfreeman ianmckellen richardarmitage kenstott peterjackson  adventure fantasy  elves dwarves orcs hobbit dragon wizard swordandsorcery
The Golden Compass,DakotaBlueRichards NicoleKidman DanielCraig SamElliott,ChrisWeitz,Adventure Fantasy,england compass experiment lordship uncle polarbear orphan animal basedonyoungadultnovel,,2007-12-04,113.0,,5.8,dakotabluerichards nicolekidman danielcraig samelliott chrisweitz  adventure fantasy  england compass experiment lordship uncle polarbear orphan animal basedonyoungadultnovel
King Kong,NaomiWatts JackBlack AdrienBrody ThomasKretschmann,PeterJackson,Adventure Drama Action,filmbusiness screenplay showbusiness filmmaking filmproducer exoticisland monster indigenous ship dinosaur,,2005-12-14,187.0,,6.6,naomiwatts jackblack adrienbrody thomaskretschmann peterjackson  adventure drama action  filmbusiness screenplay showbusiness filmmaking filmproducer exoticisland monster indigenous ship dinosaur
Titanic,KateWinslet LeonardoDiCaprio FrancesFisher BillyZane,JamesCameron,Drama Romance Thriller,shipwreck iceberg ship panic titanic oceanliner epic richwoman-poorman love disaster tragiclove classdifferences imax starcrossedlovers steerage salvage richsnob 3d 1910s,,1997-11-18,194.0,,7.5,katewinslet leonardodicaprio francesfisher billyzane jamescameron  drama romance thriller  shipwreck iceberg ship panic titanic oceanliner epic richwoman-poorman love disaster tragiclove classdifferences imax starcrossedlovers steerage salvage richsnob 3d 1910s
Captain America: Civil War,ChrisEvans RobertDowneyJr. ScarlettJohansson SebastianStan,AnthonyRusso JoeRusso,Adventure Action ScienceFiction,civilwar war marvelcomic sequel superhero basedoncomicbook imax aftercreditsstinger duringcreditsstinger marvelcinematicuniverse 3d,,2016-04-27,147.0,,7.1,chrisevans robertdowneyjr. scarlettjohansson sebastianstan anthonyrusso joerusso  adventure action sciencefiction  civilwar war marvelcomic sequel superhero basedoncomicbook imax aftercreditsstinger duringcreditsstinger marvelcinematicuniverse 3d
Battleship,TaylorKitsch AlexanderSkarsgård Rihanna BrooklynDecker,PeterBerg,Thriller Action Adventure ScienceFiction,fight u.s.navy mindreading hongkong soccer scientist fictionalwar naval armada battleship navalcombat jdsmyoko lostcommunication taser buoy communicationsexpert jointchiefsofstaff crashlanding jetfighterpilot navylieutenant permissiontomarry ussjohnpauljones basedonboardgame aftercreditsstinger mightymo ussmissouri,,2012-04-11,131.0,,5.5,taylorkitsch alexanderskarsgård rihanna brooklyndecker peterberg  thriller action adventure sciencefiction  fight u.s.navy mindreading hongkong soccer scientist fictionalwar naval armada battleship navalcombat jdsmyoko lostcommunication taser buoy communicationsexpert jointchiefsofstaff crashlanding jetfighterpilot navylieutenant permissiontomarry ussjohnpauljones basedonboardgame aftercreditsstinger mightymo ussmissouri
Jurassic World,ChrisPratt BryceDallasHoward IrrfanKhan VincentD'Onofrio,ColinTrevorrow,Action Adventure ScienceFiction Thriller,monster dna tyrannosaurusrex velociraptor island sequel suspense disaster escape dinosaur amusementpark animalattack themepark jurassicpark 3d animalhorror,,2015-06-09,124.0,,6.5,chrispratt brycedallashoward irrfankhan vincentd'onofrio colintrevorrow  action adventure sciencefiction thriller  monster dna tyrannosaurusrex velociraptor island sequel suspense disaster escape dinosaur amusementpark animalattack themepark jurassicpark 3d animalhorror
Skyfall,DanielCraig JudiDench JavierBardem RalphFiennes,SamMendes,Action Adventure Thriller,spy secretagent sociopath killer artgallery britishsecretservice istanbulturkey imax uzi boobytrap impersonatingapoliceofficer macao,,2012-10-25,143.0,,6.9,danielcraig judidench javierbardem ralphfiennes sammendes  action adventure thriller  spy secretagent sociopath killer artgallery britishsecretservice istanbulturkey imax uzi boobytrap impersonatingapoliceofficer macao
Spider-Man 2,TobeyMaguire KirstenDunst JamesFranco AlfredMolina,SamRaimi,Action Adventure Fantasy,dualidentity loveofone'slife pizzaboy marvelcomic sequel superhero doctor scientist tentacle death supervillain,,2004-06-25,127.0,,6.7,tobeymaguire kirstendunst jamesfranco alfredmolina samraimi  action adventure fantasy  dualidentity loveofone'slife pizzaboy marvelcomic sequel superhero doctor scientist tentacle death supervillain
Iron Man 3,RobertDowneyJr. GwynethPaltrow DonCheadle GuyPearce,ShaneBlack,Action Adventure ScienceFiction,terrorist waronterror tennessee malibu marvelcomic superhero basedoncomicbook tonystark ironman aftercreditsstinger marvelcinematicuniverse mandarin 3d warmachine ironpatriot extremis,,2013-04-18,130.0,,6.8,robertdowneyjr. gwynethpaltrow doncheadle guypearce shaneblack  action adventure sciencefiction  terrorist waronterror tennessee malibu marvelcomic superhero basedoncomicbook tonystark ironman aftercreditsstinger marvelcinematicuniverse mandarin 3d warmachine ironpatriot extremis
Alice in Wonderland,MiaWasikowska JohnnyDepp AnneHathaway HelenaBonhamCarter,TimBurton,Family Fantasy Adventure,basedonnovel fictionalplace queen fantasy aliceinwonderland fantasyworld 3d,,2010-03-03,108.0,,6.4,miawasikowska johnnydepp annehathaway helenabonhamcarter timburton  family fantasy adventure  basedonnovel fictionalplace queen fantasy aliceinwonderland fantasyworld 3d
X-Men: The Last Stand,HughJackman HalleBerry IanMcKellen PatrickStewart,BrettRatner,Adventure Action ScienceFiction Thriller,mutant marvelcomic basedoncomicbook superhuman beast cyclops aftercreditsstinger,,2006-05-24,104.0,,6.3,hughjackman halleberry ianmckellen patrickstewart brettratner  adventure action sciencefiction thriller  mutant marvelcomic basedoncomicbook superhuman beast cyclops aftercreditsstinger
Monsters University,BillyCrystal JohnGoodman SteveBuscemi HelenMirren,DanScanlon,Animation Family,monster dormitory games animation bestfriend university scary aftercreditsstinger,,2013-06-20,104.0,,7.0,billycrystal johngoodman stevebuscemi helenmirren danscanlon  animation family  monster dormitory games animation bestfriend university scary aftercreditsstinger
Transformers: Revenge of the Fallen,ShiaLaBeouf MeganFox JoshDuhamel RainnWilson,MichaelBay,ScienceFiction Action Adventure,egypt sun chaos symbol artifact transformers tank robot imax duringcreditsstinger,,2009-06-19,150.0,,6.0,shialabeouf meganfox joshduhamel rainnwilson michaelbay  sciencefiction action adventure  egypt sun chaos symbol artifact transformers tank robot imax duringcreditsstinger
Transformers: Age of Extinction,MarkWahlberg StanleyTucci KelseyGrammer NicolaPeltz,MichaelBay,ScienceFiction Action Adventure,sequel alien transformers giantrobot robot imax transformingrobot,,2014-06-25,165.0,,5.8,markwahlberg stanleytucci kelseygrammer nicolapeltz michaelbay  sciencefiction action adventure  sequel alien transformers giantrobot robot imax transformingrobot
Oz: The Great and Powerful,JamesFranco MilaKunis RachelWeisz MichelleWilliams,SamRaimi,Fantasy Adventure Family,circus witch magic hope illusion lost magictrick wizard 3d,,2013-03-07,130.0,,5.7,jamesfranco milakunis rachelweisz michellewilliams samraimi  fantasy adventure family  circus witch magic hope illusion lost magictrick wizard 3d
The Amazing Spider-Man 2,AndrewGarfield EmmaStone JamieFoxx DaneDeHaan,MarcWebb,Action Adventure Fantasy,obsession marvelcomic sequel basedoncomicbook electrocution medicalexperiment electricity superpowers,,2014-04-16,142.0,,6.5,andrewgarfield emmastone jamiefoxx danedehaan marcwebb  action adventure fantasy  obsession marvelcomic sequel basedoncomicbook electrocution medicalexperiment electricity superpowers
TRON: Legacy,GarrettHedlund JeffBridges OliviaWilde BruceBoxleitner,JosephKosinski,Adventure Action ScienceFiction,artificialintelligence secretidentity computerprogram dystopia computer deception duel motorcycle neonlight autocracy,,2010-12-10,125.0,,6.3,garretthedlund jeffbridges oliviawilde bruceboxleitner josephkosinski  adventure action sciencefiction  artificialintelligence secretidentity computerprogram dystopia computer deception duel motorcycle neonlight autocracy
Cars 2,OwenWilson LarrytheCableGuy MichaelCaine EmilyMortimer,JohnLasseter BradLewis,Animation Family Adventure Comedy,carrace sequel comedy anthropomorphism bestfriend duringcreditsstinger,,2011-06-11,106.0,,5.8,owenwilson larrythecableguy michaelcaine emilymortimer johnlasseter bradlewis  animation family adventure comedy  carrace sequel comedy anthropomorphism bestfriend duringcreditsstinger
Green Lantern,RyanReynolds BlakeLively PeterSarsgaard TimRobbins,MartinCampbell,Adventure Action Thriller ScienceFiction,dccomics transformation superhero alien alieninfection magicalobject protector superpowers origin 3d,,2011-06-16,114.0,,5.1,ryanreynolds blakelively petersarsgaard timrobbins martincampbell  adventure action thriller sciencefiction  dccomics transformation superhero alien alieninfection magicalobject protector superpowers origin 3d
Toy Story 3,TomHanks TimAllen NedBeatty JoanCusack,LeeUnkrich,Animation Family Comedy,hostage college toy barbie animation escape daycare teddybear duringcreditsstinger toycomestolife personification inanimateobjectscomingtolife toystory,,2010-06-16,103.0,,7.6,tomhanks timallen nedbeatty joancusack leeunkrich  animation family comedy  hostage college toy barbie animation escape daycare teddybear duringcreditsstinger toycomestolife personification inanimateobjectscomingtolife toystory
Terminator Salvation,ChristianBale SamWorthington AntonYelchin MoonBloodgood,McG,Action ScienceFiction Thriller,savingtheworld artificialintelligence prophecy sanfrancisco cyborg killerrobot gasstation post-apocalyptic dystopia army firearm wartime losangeles,,2009-05-20,115.0,,5.9,christianbale samworthington antonyelchin moonbloodgood mcg  action sciencefiction thriller  savingtheworld artificialintelligence prophecy sanfrancisco cyborg killerrobot gasstation post-apocalyptic dystopia army firearm wartime losangeles
Furious 7,VinDiesel PaulWalker DwayneJohnson MichelleRodriguez,JamesWan,Action,carrace speed revenge suspense car race musclecar,,2015-04-01,137.0,,7.3,vindiesel paulwalker dwaynejohnson michellerodriguez jameswan  action  carrace speed revenge suspense car race musclecar
World War Z,BradPitt MireilleEnos AbigailHargrove SterlingJerins,MarcForster,Action Drama Horror ScienceFiction Thriller,dystopia apocalypse zombie nuclearweapons multipleperspectives zombieapocalypse,,2013-06-20,116.0,,6.7,bradpitt mireilleenos abigailhargrove sterlingjerins marcforster  action drama horror sciencefiction thriller  dystopia apocalypse zombie nuclearweapons multipleperspectives zombieapocalypse
X-Men: Days of Future Past,HughJackman JamesMcAvoy MichaelFassbender JenniferLawrence,BryanSinger,Action Adventure Fantasy ScienceFiction,1970s mutant timetravel marvelcomic basedoncomicbook superhuman storm beast aftercreditsstinger changingthepastorfuture,,2014-05-15,131.0,,7.5,hughjackman jamesmcavoy michaelfassbender jenniferlawrence bryansinger  action adventure fantasy sciencefiction  1970s mutant timetravel marvelcomic basedoncomicbook superhuman storm beast aftercreditsstinger changingthepastorfuture
Star Trek Into Darkness,ChrisPine ZacharyQuinto ZoeSaldana KarlUrban,J.J.Abrams,Action Adventure ScienceFiction,spacecraft friendship sequel futuristic space alien imax spaceopera terroristbombing 3d,,2013-05-05,132.0,,7.4,chrispine zacharyquinto zoesaldana karlurban j.j.abrams  action adventure sciencefiction  spacecraft friendship sequel futuristic space alien imax spaceopera terroristbombing 3d
Jack the Giant Slayer,NicholasHoult EleanorTomlinson EwanMcGregor StanleyTucci,BryanSinger,Action Family Fantasy,basedonfairytale giant,,2013-02-27,114.0,,5.5,nicholashoult eleanortomlinson ewanmcgregor stanleytucci bryansinger  action family fantasy  basedonfairytale giant
The Great Gatsby,LeonardoDiCaprio TobeyMaguire CareyMulligan JoelEdgerton,BazLuhrmann,Drama Romance,basedonnovel infidelity obsession hope 3d,,2013-05-10,143.0,,7.3,leonardodicaprio tobeymaguire careymulligan joeledgerton bazluhrmann  drama romance  basedonnovel infidelity obsession hope 3d
Prince of Persia: The Sands of Time,JakeGyllenhaal GemmaArterton BenKingsley AlfredMolina,MikeNewell,Adventure Fantasy Action Romance,persia sandstorm brotheragainstbrother armageddon regent basedonvideogame,,2010-05-19,116.0,,6.2,jakegyllenhaal gemmaarterton benkingsley alfredmolina mikenewell  adventure fantasy action romance  persia sandstorm brotheragainstbrother armageddon regent basedonvideogame
Pacific Rim,IdrisElba CharlieHunnam CharlieDay RonPerlman,GuillermodelToro,Action ScienceFiction Adventure,dystopia giantrobot giantmonster apocalypse imax duringcreditsstinger 3d,,2013-07-11,131.0,,6.7,idriselba charliehunnam charlieday ronperlman guillermodeltoro  action sciencefiction adventure  dystopia giantrobot giantmonster apocalypse imax duringcreditsstinger 3d
Transformers: Dark of the Moon,ShiaLaBeouf JohnMalkovich KenJeong FrancesMcDormand,MichaelBay,Action ScienceFiction Adventure,moon spacecraft traitor bodyguard alienplanet basedoncartoon transformers giantrobot sabotage worddomination commando duringcreditsstinger,,2011-06-28,154.0,,6.1,shialabeouf johnmalkovich kenjeong francesmcdormand michaelbay  action sciencefiction adventure  moon spacecraft traitor bodyguard alienplanet basedoncartoon transformers giantrobot sabotage worddomination commando duringcreditsstinger
Indiana Jones and the Kingdom of the Crystal Skull,HarrisonFord CateBlanchett ShiaLaBeouf RayWinstone,StevenSpielberg,Adventure Action,savingtheworld riddle whip treasure mexicocity leatherjacket machinegun alienphenomenons mayacivilization peru treasurehunt nuclearexplosion refrigerator archaeologist indianajones archeology,,2008-05-21,122.0,,5.7,harrisonford cateblanchett shialabeouf raywinstone stevenspielberg  adventure action  savingtheworld riddle whip treasure mexicocity leatherjacket machinegun alienphenomenons mayacivilization peru treasurehunt nuclearexplosion refrigerator archaeologist indianajones archeology
The Good Dinosaur,RaymondOchoa JackBright JeffreyWright FrancesMcDormand,PeterSohn,Adventure Animation Family,tyrannosaurusrex friends alternatehistory dinosaur fear storm nature human journey,,2015-11-14,93.0,,6.6,raymondochoa jackbright jeffreywright francesmcdormand petersohn  adventure animation family  tyrannosaurusrex friends alternatehistory dinosaur fear storm nature human journey
Brave,KellyMacdonald JulieWalters BillyConnolly EmmaThompson,BrendaChapman MarkAndrews StevePurcell,Animation Adventure Comedy Family Action Fantasy,scotland rebel bravery kingdom archer wish bear scot rebelliousdaughter turnsintoanimal archery ruins aftercreditsstinger peaceoffering womandirector courage 3d,,2012-06-21,93.0,,6.7,kellymacdonald juliewalters billyconnolly emmathompson brendachapman markandrews stevepurcell  animation adventure comedy family action fantasy  scotland rebel bravery kingdom archer wish bear scot rebelliousdaughter turnsintoanimal archery ruins aftercreditsstinger peaceoffering womandirector courage 3d
Star Trek Beyond,ChrisPine ZacharyQuinto KarlUrban SimonPegg,JustinLin,Action Adventure ScienceFiction,sequel stranded hatred spaceopera,,2016-07-07,122.0,,6.6,chrispine zacharyquinto karlurban simonpegg justinlin  action adventure sciencefiction  sequel stranded hatred spaceopera
WALL·E,BenBurtt ElissaKnight JeffGarlin FredWillard,AndrewStanton,Animation Family,romanticcomedy,,2008-06-22,98.0,,7.8,benburtt elissaknight jeffgarlin fredwillard andrewstanton  animation family  romanticcomedy
Rush Hour 3,ChrisTucker JackieChan HiroyukiSanada MaxvonSydow,BrettRatner,Action Comedy Crime Thriller,ambassador,,2007-08-08,91.0,,6.1,christucker jackiechan hiroyukisanada maxvonsydow brettratner  action comedy crime thriller  ambassador
2012,JohnCusack AmandaPeet ChiwetelEjiofor ThandieNewton,RolandEmmerich,Action Adventure ScienceFiction,civilization naturaldisaster endoftheworld disaster apocalypse destruction volcaniceruption mayan ark solar destructionofmankind,,2009-10-10,158.0,,5.6,johncusack amandapeet chiwetelejiofor thandienewton rolandemmerich  action adventure sciencefiction  civilization naturaldisaster endoftheworld disaster apocalypse destruction volcaniceruption mayan ark solar destructionofmankind
A Christmas Carol,GaryOldman JimCarrey SteveValentine DarylSabara,RobertZemeckis,Animation Drama,holiday basedonnovel victorianengland money christmaseve scrooge christmascarol ghost lesson charlesdickens christmas,,2009-11-04,96.0,,6.6,garyoldman jimcarrey stevevalentine darylsabara robertzemeckis  animation drama  holiday basedonnovel victorianengland money christmaseve scrooge christmascarol ghost lesson charlesdickens christmas
Jupiter Ascending,MilaKunis ChanningTatum SeanBean EddieRedmayne,LillyWachowski LanaWachowski,ScienceFiction Fantasy Action Adventure,jupiter space womandirector 3d interspeciesromance,,2015-02-04,124.0,,5.2,milakunis channingtatum seanbean eddieredmayne lillywachowski lanawachowski  sciencefiction fantasy action adventure  jupiter space womandirector 3d interspeciesromance
The Legend of Tarzan,AlexanderSkarsgård MargotRobbie ChristophWaltz SamuelL.Jackson,DavidYates,Action Adventure,africa feralchild tarzan jungle animalattack,,2016-06-29,109.0,,5.5,alexanderskarsgård margotrobbie christophwaltz samuell.jackson davidyates  action adventure  africa feralchild tarzan jungle animalattack
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",WilliamMoseley AnnaPopplewell SkandarKeynes GeorgieHenley,AndrewAdamson,Adventure Family Fantasy,savingtheworld witch basedonnovel brothersisterrelationship selfsacrifice winter cupboard beaver lion fairy-talefigure battle narnia fantasyworld duringcreditsstinger,,2005-12-07,143.0,,6.7,williammoseley annapopplewell skandarkeynes georgiehenley andrewadamson  adventure family fantasy  savingtheworld witch basedonnovel brothersisterrelationship selfsacrifice winter cupboard beaver lion fairy-talefigure battle narnia fantasyworld duringcreditsstinger
X-Men: Apocalypse,JamesMcAvoy MichaelFassbender JenniferLawrence NicholasHoult,BryanSinger,ScienceFiction,mutant supernaturalpowers marvelcomic superhero basedoncomicbook superhuman apocalypse superheroteam worlddomination aftercreditsstinger 1980s,,2016-05-18,144.0,,6.4,jamesmcavoy michaelfassbender jenniferlawrence nicholashoult bryansinger  sciencefiction  mutant supernaturalpowers marvelcomic superhero basedoncomicbook superhuman apocalypse superheroteam worlddomination aftercreditsstinger 1980s
